,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,name,attack,defense,hp,capture_rate,sp_attack,sp_defense,speed,base_total,classification,type1,type2,height_m,weight_kg,percentage_male,generation,is_legendary
10,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,Metapod,20,55,50,120,25,25,30,205,Cocoon Pokémon,bug,none,0.7,9.9,50.0,1,0
11,"['Compoundeyes', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,Butterfree,45,50,60,45,90,80,70,395,Butterfly Pokémon,bug,flying,1.1,32.0,50.0,1,0
12,"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,Weedle,35,30,40,255,20,20,50,195,Hairy Pokémon,bug,poison,0.3,3.2,50.0,1,0
13,['Shed Skin'],0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,Kakuna,25,50,45,120,25,25,35,205,Cocoon Pokémon,bug,poison,0.6,10.0,50.0,1,0
14,"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,Beedrill,150,40,65,45,15,80,145,495,Poison Bee Pokémon,bug,poison,1.0,29.5,50.0,1,0
15,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Pidgey,45,40,40,255,35,35,56,251,Tiny Bird Pokémon,normal,flying,0.3,1.8,50.0,1,0
16,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Pidgeotto,60,55,63,120,50,50,71,349,Bird Pokémon,normal,flying,1.1,30.0,50.0,1,0
17,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Pidgeot,80,80,83,45,135,80,121,579,Bird Pokémon,normal,flying,1.5,39.5,50.0,1,0
18,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Rattata,56,35,30,255,25,35,72,253,Mouse Pokémon,normal,dark,,,50.0,1,0
19,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Raticate,71,70,75,127,40,80,77,413,Mouse Pokémon,normal,dark,,,50.0,1,0
20,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Spearow,60,30,40,255,31,31,70,262,Tiny Bird Pokémon,normal,flying,0.3,2.0,50.0,1,0
21,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Fearow,90,65,65,90,61,61,100,442,Beak Pokémon,normal,flying,1.2,38.0,50.0,1,0
22,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Ekans,60,44,35,255,40,54,55,288,Snake Pokémon,poison,none,2.0,6.9,50.0,1,0
23,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Arbok,95,69,60,90,65,79,80,448,Cobra Pokémon,poison,none,3.5,65.0,50.0,1,0
24,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Pikachu,55,40,35,190,50,50,90,320,Mouse Pokémon,electric,none,0.4,6.0,50.0,1,0
25,"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Raichu,85,50,60,75,95,85,110,485,Mouse Pokémon,electric,electric,,,50.0,1,0
26,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,Sandshrew,75,90,50,255,10,35,40,300,Mouse Pokémon,ground,ice,,,50.0,1,0
27,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,Sandslash,100,120,75,90,25,65,65,450,Mouse Pokémon,ground,ice,,,50.0,1,0
28,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Nidoran♀,47,52,55,235,40,40,41,275,Poison Pin Pokémon,poison,none,0.4,7.0,0.0,1,0
29,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Nidorina,62,67,70,120,55,55,56,365,Poison Pin Pokémon,poison,none,0.8,20.0,0.0,1,0
30,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,Nidoqueen,92,87,90,45,75,85,76,505,Drill Pokémon,poison,ground,1.3,60.0,0.0,1,0
31,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Nidoran♂,57,40,46,235,40,40,50,273,Poison Pin Pokémon,poison,none,0.5,9.0,100.0,1,0
32,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Nidorino,72,57,61,120,55,55,65,365,Poison Pin Pokémon,poison,none,0.9,19.5,100.0,1,0
33,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,Nidoking,102,77,81,45,85,75,85,505,Drill Pokémon,poison,ground,1.4,62.0,100.0,1,0
34,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,Clefairy,45,48,70,150,60,65,35,323,Fairy Pokémon,fairy,none,0.6,7.5,24.6,1,0
35,"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,Clefable,70,73,95,25,95,90,60,483,Fairy Pokémon,fairy,none,1.3,40.0,24.6,1,0
36,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Vulpix,41,40,38,190,50,65,65,299,Fox Pokémon,fire,ice,,,24.6,1,0
37,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Ninetales,67,75,73,75,81,100,109,505,Fox Pokémon,fire,ice,,,24.6,1,0
38,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,Jigglypuff,45,20,115,170,45,25,20,270,Balloon Pokémon,normal,fairy,0.5,5.5,24.6,1,0
39,"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,Wigglytuff,70,45,140,50,85,50,45,435,Balloon Pokémon,normal,fairy,1.0,12.0,24.6,1,0
40,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,Zubat,45,35,40,255,30,40,55,245,Bat Pokémon,poison,flying,0.8,7.5,50.0,1,0
41,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,Golbat,80,70,75,90,65,75,90,455,Bat Pokémon,poison,flying,1.6,55.0,50.0,1,0
42,"['Chlorophyll', 'Run Away']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Oddish,50,55,45,255,75,65,30,320,Weed Pokémon,grass,poison,0.5,5.4,50.0,1,0
43,"['Chlorophyll', 'Stench']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Gloom,65,70,60,120,85,75,40,395,Weed Pokémon,grass,poison,0.8,8.6,50.0,1,0
44,"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Vileplume,80,85,75,45,110,90,50,490,Flower Pokémon,grass,poison,1.2,18.6,50.0,1,0
45,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,Paras,70,55,35,190,45,55,25,285,Mushroom Pokémon,bug,grass,0.3,5.4,50.0,1,0
46,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,Parasect,95,80,60,75,60,80,30,405,Mushroom Pokémon,bug,grass,1.0,29.5,50.0,1,0
47,"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,Venonat,55,50,60,190,40,55,45,305,Insect Pokémon,bug,poison,1.0,30.0,50.0,1,0
48,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,Venomoth,65,60,70,75,90,75,90,450,Poison Moth Pokémon,bug,poison,1.5,12.5,50.0,1,0
49,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,Diglett,55,30,10,255,35,45,90,265,Mole Pokémon,ground,ground,,,50.0,1,0
50,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,Dugtrio,100,60,35,50,50,70,110,425,Mole Pokémon,ground,ground,,,50.0,1,0
51,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Meowth,35,35,40,255,50,40,90,290,Scratch Cat Pokémon,normal,dark,,,50.0,1,0
52,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Persian,60,60,65,90,75,65,115,440,Classy Cat Pokémon,normal,dark,,,50.0,1,0
53,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Psyduck,52,48,50,190,65,50,55,320,Duck Pokémon,water,none,0.8,19.6,50.0,1,0
54,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Golduck,82,78,80,75,95,80,85,500,Duck Pokémon,water,none,1.7,76.6,50.0,1,0
55,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,Mankey,80,35,40,190,35,45,70,305,Pig Monkey Pokémon,fighting,none,0.5,28.0,50.0,1,0
56,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,Primeape,105,60,65,75,60,70,95,455,Pig Monkey Pokémon,fighting,none,1.0,32.0,50.0,1,0
57,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Growlithe,70,45,55,190,70,50,60,350,Puppy Pokémon,fire,none,0.7,19.0,75.4,1,0
58,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Arcanine,110,80,90,75,100,80,95,555,Legendary Pokémon,fire,none,1.9,155.0,75.4,1,0
59,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Poliwag,50,40,40,255,40,40,90,300,Tadpole Pokémon,water,none,0.6,12.4,50.0,1,0
60,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Poliwhirl,65,65,65,120,50,50,90,385,Tadpole Pokémon,water,none,1.0,20.0,50.0,1,0
61,"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,Poliwrath,95,95,90,45,70,90,70,510,Tadpole Pokémon,water,fighting,1.3,54.0,50.0,1,0
62,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,Abra,20,15,25,200,105,55,90,310,Psi Pokémon,psychic,none,0.9,19.5,75.4,1,0
63,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,Kadabra,35,30,40,100,120,70,105,400,Psi Pokémon,psychic,none,1.3,56.5,75.4,1,0
64,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,Alakazam,50,65,55,50,175,105,150,600,Psi Pokémon,psychic,none,1.5,48.0,75.4,1,0
65,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,Machop,80,50,70,180,35,35,35,305,Superpower Pokémon,fighting,none,0.8,19.5,75.4,1,0
66,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,Machoke,100,70,80,90,50,60,45,405,Superpower Pokémon,fighting,none,1.5,70.5,75.4,1,0
67,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,Machamp,130,80,90,45,65,85,55,505,Superpower Pokémon,fighting,none,1.6,130.0,75.4,1,0
68,"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Bellsprout,75,35,50,255,70,30,40,300,Flower Pokémon,grass,poison,0.7,4.0,50.0,1,0
69,"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Weepinbell,90,50,65,120,85,45,55,390,Flycatcher Pokémon,grass,poison,1.0,6.4,50.0,1,0
70,"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Victreebel,105,65,80,45,100,70,70,490,Flycatcher Pokémon,grass,poison,1.7,15.5,50.0,1,0
71,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,Tentacool,40,35,40,190,50,100,70,335,Jellyfish Pokémon,water,poison,0.9,45.5,50.0,1,0
72,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,Tentacruel,70,65,80,60,80,120,100,515,Jellyfish Pokémon,water,poison,1.6,55.0,50.0,1,0
73,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,Geodude,80,100,40,255,30,30,20,300,Rock Pokémon,rock,ground,,,50.0,1,0
74,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,Graveler,95,115,55,120,45,45,35,390,Rock Pokémon,rock,ground,,,50.0,1,0
75,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,Golem,120,130,80,45,55,65,45,495,Megaton Pokémon,rock,ground,,,50.0,1,0
76,"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Ponyta,85,55,50,190,65,65,90,410,Fire Horse Pokémon,fire,none,1.0,30.0,50.0,1,0
77,"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Rapidash,100,70,65,60,80,80,105,500,Fire Horse Pokémon,fire,none,1.7,95.0,50.0,1,0
78,"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,Slowpoke,65,65,90,190,40,40,15,315,Dopey Pokémon,water,psychic,1.2,36.0,50.0,1,0
79,"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,Slowbro,75,180,95,75,130,80,30,590,Hermit Crab Pokémon,water,psychic,1.6,78.5,50.0,1,0
80,"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,Magnemite,35,70,25,190,95,55,45,325,Magnet Pokémon,electric,steel,0.3,6.0,genderless,1,0
81,"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,Magneton,60,95,50,60,120,70,70,465,Magnet Pokémon,electric,steel,1.0,60.0,genderless,1,0
82,"['Keen Eye', 'Inner Focus', 'Defiant']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Farfetch'd,90,55,52,45,58,62,60,377,Wild Duck Pokémon,normal,flying,0.8,15.0,50.0,1,0
83,"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Doduo,85,45,35,190,35,35,75,310,Twin Bird Pokémon,normal,flying,1.4,39.2,50.0,1,0
84,"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Dodrio,110,70,60,45,60,60,110,470,Triple Bird Pokémon,normal,flying,1.8,85.2,50.0,1,0
85,"['Thick Fat', 'Hydration', 'Ice Body']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Seel,45,55,65,190,45,70,45,325,Sea Lion Pokémon,water,none,1.1,90.0,50.0,1,0
86,"['Thick Fat', 'Hydration', 'Ice Body']",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,Dewgong,70,80,90,75,70,95,70,475,Sea Lion Pokémon,water,ice,1.7,120.0,50.0,1,0
87,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Grimer,80,50,80,190,40,50,25,325,Sludge Pokémon,poison,poison,,,50.0,1,0
88,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Muk,105,75,105,75,65,100,50,500,Sludge Pokémon,poison,poison,,,50.0,1,0
